time,P,G(i),H_sun,T2m,WS10m,Int,ac_power_kw
2019-01-01 00:10:00,0.0,0.0,0.0,6.42,5.1,0.0,0.0
2019-01-01 01:10:00,0.0,0.0,0.0,6.48,5.31,0.0,0.0
2019-01-01 02:10:00,0.0,0.0,0.0,6.42,5.31,0.0,0.0
2019-01-01 03:10:00,0.0,0.0,0.0,6.01,5.1,0.0,0.0
2019-01-01 04:10:00,0.0,0.0,0.0,5.71,4.41,0.0,0.0
2019-01-01 05:10:00,0.0,0.0,0.0,5.65,3.72,0.0,0.0
2019-01-01 06:10:00,0.0,0.0,0.0,5.6,3.24,0.0,0.0
2019-01-01 07:10:00,502.92,155.23,5.53,5.69,2.9,0.0,0.50292
2019-01-01 08:10:00,1591.34,422.8,13.21,6.21,2.41,0.0,1.59134
2019-01-01 09:10:00,2190.51,575.76,19.07,6.73,2.0,0.0,2.19051
2019-01-01 10:10:00,2594.97,691.55,22.6,7.54,1.45,0.0,2.59497
2019-01-01 11:10:00,2631.15,697.91,23.41,8.05,2.07,0.0,2.63115
2019-01-01 12:10:00,2282.58,605.43,21.41,8.57,1.86,0.0,2.28258
2019-01-01 13:10:00,1851.48,493.52,16.82,8.95,1.79,0.0,1.85148
2019-01-01 14:10:00,965.66,269.61,10.12,9.1,2.14,0.0,0.96566
2019-01-01 15:10:00,0.0,0.0,0.0,9.24,2.69,0.0,0.0
2019-01-01 16:10:00,0.0,0.0,0.0,8.9,2.07,0.0,0.0
2019-01-01 17:10:00,0.0,0.0,0.0,7.8,1.66,0.0,0.0
2019-01-01 18:10:00,0.0,0.0,0.0,6.92,2.0,0.0,0.0
2019-01-01 19:10:00,0.0,0.0,0.0,6.44,2.0,0.0,0.0
2019-01-01 20:10:00,0.0,0.0,0.0,6.16,1.86,0.0,0.0
2019-01-01 21:10:00,0.0,0.0,0.0,5.92,2.0,0.0,0.0
2019-01-01 22:10:00,0.0,0.0,0.0,5.8,2.41,0.0,0.0
2019-01-01 23:10:00,0.0,0.0,0.0,5.65,1.93,0.0,0.0
2019-01-02 00:10:00,0.0,0.0,0.0,5.76,1.17,0.0,0.0
2019-01-02 01:10:00,0.0,0.0,0.0,5.79,1.1,0.0,0.0
2019-01-02 02:10:00,0.0,0.0,0.0,5.65,1.45,0.0,0.0
2019-01-02 03:10:00,0.0,0.0,0.0,5.7,1.1,0.0,0.0
2019-01-02 04:10:00,0.0,0.0,0.0,5.8,0.76,0.0,0.0
2019-01-02 05:10:00,0.0,0.0,0.0,5.81,0.28,0.0,0.0
2019-01-02 06:10:00,0.0,0.0,0.0,6.04,1.03,0.0,0.0
2019-01-02 07:10:00,137.43,51.65,5.54,6.39,1.59,0.0,0.13743
2019-01-02 08:10:00,329.18,100.78,13.23,6.99,2.07,0.0,0.32918000000000003
